date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:31:20	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202019%2022:01:20%20GMT	http://thesharthee.com/robots.txt		(from )
03:31:20	17496/17496	---M-Z	200	added ('OK')	text/html	etag:%224458-5b5d3b9a-e5a5ea11a3d36cc2;gz%22	http://thesharthee.com/tf/mackien-preview/	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/index.html	(from )
03:31:21	1684/1684	---M--	200	added ('OK')	image/png	etag:%22694-5ac11052-436f9b65b0de2eec;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/favicon.png	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/favicon.png	(from http://thesharthee.com/tf/mackien-preview/)
03:31:22	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-5a60069c-8f9ed998686c1751;gz%22	http://thesharthee.com/tf/mackien-preview/assets/css/bootstrap.min.css	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/css/bootstrap.min.css	(from http://thesharthee.com/tf/mackien-preview/)
03:31:23	29062/29062	---M-Z	200	added ('OK')	text/css	etag:%227186-579b64fe-4c72682918d72931;gz%22	http://thesharthee.com/tf/mackien-preview/assets/css/font-awesome.min.css	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/css/font-awesome.min.css	(from http://thesharthee.com/tf/mackien-preview/)
03:31:23	4613/4613	---M-Z	200	added ('OK')	text/css	etag:%221205-5b2fabe0-bfa5b7475299eb79;gz%22	http://thesharthee.com/tf/mackien-preview/assets/css/owl.carousel.css	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/css/owl.carousel.css	(from http://thesharthee.com/tf/mackien-preview/)
03:31:24	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-59343144-12a8a151eb9b537a;gz%22	http://thesharthee.com/tf/mackien-preview/assets/css/magnific-popup.css	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/css/magnific-popup.css	(from http://thesharthee.com/tf/mackien-preview/)
03:31:24	2505/2505	---M-Z	200	added ('OK')	text/css	etag:%229c9-598c989c-5df53015354609d6;gz%22	http://thesharthee.com/tf/mackien-preview/assets/css/slicknav.min.css	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/css/slicknav.min.css	(from http://thesharthee.com/tf/mackien-preview/)
03:31:25	3913/3913	---M-Z	200	added ('OK')	text/css	etag:%22f49-5aff7970-9f85b31bc5cfc1ca;gz%22	http://thesharthee.com/tf/mackien-preview/assets/css/typography.css	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/css/typography.css	(from http://thesharthee.com/tf/mackien-preview/)
03:31:26	4812/4812	---M-Z	200	added ('OK')	text/css	etag:%2212cc-5aff7dc4-414f4bf1209912a;gz%22	http://thesharthee.com/tf/mackien-preview/assets/css/default-css.css	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/css/default-css.css	(from http://thesharthee.com/tf/mackien-preview/)
03:31:26	17396/17396	---M-Z	200	added ('OK')	text/css	etag:%2243f4-5b5ce780-b1e53b6f7a56f371;gz%22	http://thesharthee.com/tf/mackien-preview/assets/css/styles.css	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/css/styles.css	(from http://thesharthee.com/tf/mackien-preview/)
03:31:27	2200/2200	---M-Z	200	added ('OK')	text/css	etag:%22898-5b00c1aa-7e890e3059d72d57;gz%22	http://thesharthee.com/tf/mackien-preview/assets/css/responsive.css	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/css/responsive.css	(from http://thesharthee.com/tf/mackien-preview/)
03:31:27	15514/15514	---M-Z	200	added ('OK')	application/javascript	etag:%223c9a-56955034-2f7098c2758e6f90;gz%22	http://thesharthee.com/tf/mackien-preview/assets/js/vendor/modernizr-2.8.3.min.js	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/js/vendor/modernizr-2.8.3.min.js	(from http://thesharthee.com/tf/mackien-preview/)
03:31:29	17496/17496	---M-Z	200	added ('OK')	text/html	etag:%224458-5b5d3b9a-e5a5ea11a3d36cc2;gz%22	http://thesharthee.com/tf/mackien-preview/index.html	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/index-2.html	(from http://thesharthee.com/tf/mackien-preview/)
03:31:30	1902/1902	---M--	200	added ('OK')	image/png	etag:%2276e-5b5d3490-9ffaa448d4998ae8;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/icon/logo.png	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/icon/logo.png	(from http://thesharthee.com/tf/mackien-preview/)
03:31:37	40335/40335	---M--	200	added ('OK')	image/jpeg	etag:%229d8f-5b0063f2-4e1f3989b961071e;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img1.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img1.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:31:43	70041/70041	---M--	200	added ('OK')	image/jpeg	etag:%2211199-5b0063f2-e80bb98658aebc61;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img2.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img2.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:31:48	118748/118748	---M--	200	added ('OK')	image/jpeg	etag:%221cfdc-5b5cfc50-38db2061a1408e2c;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/profile/my-image.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/profile/my-image.jpg	(from http://thesharthee.com/tf/mackien-preview/)
